;1. Gang Pinion -> 1. Gang Wheel\Powerloss;2. Gang Pinion -> 2. Gang Wheel\Powerloss;Konstant Pinion -> Konstant Wheel\Powerloss;1. Gang Pinion\Lifetime;1. Gang Wheel\Lifetime;2. Gang Pinion\Lifetime;2. Gang Wheel\Lifetime;Konstant Pinion\Lifetime;Konstant Wheel\Lifetime;1. Gang Pinion\contactDamage;1. Gang Wheel\contactDamage;2. Gang Pinion\contactDamage;2. Gang Wheel\contactDamage;Konstant Pinion\contactDamage;Konstant Wheel\contactDamage;1. Gang Pinion\Powerloss;1. Gang Wheel\Powerloss;2. Gang Pinion\Powerloss;2. Gang Wheel\Powerloss;Konstant Pinion\Powerloss;Konstant Wheel\Powerloss;Rolling Bearing 7\Lifetime;Rolling Bearing 8\Lifetime;Rolling Bearing 1\Lifetime;Rolling Bearing 2\Lifetime;Rolling Bearing 3\Lifetime;Rolling Bearing 4\Lifetime;Rolling Bearing 5\Lifetime;Rolling Bearing 6\Lifetime;Rolling Bearing 7\Powerloss;Rolling Bearing 8\Powerloss;Rolling Bearing 1\Powerloss;Rolling Bearing 2\Powerloss;Rolling Bearing 3\Powerloss;Rolling Bearing 4\Powerloss;Rolling Bearing 5\Powerloss;Rolling Bearing 6\Powerloss
65;101.808975;2.11727021e-07;75.3418606;101825367.74066566;428515088.1898435;2.1600000000000003e+31;2.1600000000000003e+31;115787688.28545563;600648632.1154794;2121.27886;504.066265;0.0;0.0;1865.48331;359.611241;13.2738725;0.0;12.6671344;0.0;0.0;116.206183;42153260.8;7620942.34;105795384.0;1349383830.0;9444053.81;8784646.7;inf;5.84535227e+26;1.92680525;2.63511307;22.9128915;18.5437952;6.5456718;6.95596908;3.17635699e-16;1.73887208
66;101.757913;1.39777816e-07;75.2841117;101825520.86688478;428515732.5791784;2.1600000000000003e+31;2.1600000000000003e+31;115724926.41461788;600323057.1829668;2121.27567;504.065507;0.0;0.0;1866.49503;359.80627;12.9511347;0.0;12.3978828;0.0;0.0;114.868039;57833430.4;7604366.52;109481373.0;1410696840.0;9799876.0;9115298.21;inf;6.08117284e+26;1.75124002;2.65085764;22.9729329;18.6049052;6.56125504;6.96575206;3.15247891e-16;1.74866824
67;101.70642;1.77389372e-07;75.226104;101825192.53411466;428514351.9901519;2.1600000000000003e+31;2.1600000000000003e+31;115661690.62586094;599995021.7079726;2121.28251;504.067131;0.0;0.0;1867.5155;360.002987;12.6329976;0.0;12.1320615;0.0;0.0;113.539486;77545314.8;7539434.81;113356594.0;1475911090.0;10173968.6;9462778.17;inf;6.32176803e+26;1.61122954;2.67227337;23.0338864;18.6669146;6.57709592;6.9757484;3.12860083e-16;1.75862312
68;100.448627;6.67319331e-07;75.9357242;101825435.90337718;428515377.2296749;2.1600000000000003e+31;2.1600000000000003e+31;139442581.37965885;723358393.8839566;2121.27744;504.065925;0.0;0.0;1549.02468;298.607166;5.93602031;0.0;6.40300104;0.0;0.0;82.441752;65347630.8;6570466.86;70884926.9;874586281.0;6539718.8;6060942.33;inf;4.50501153e+26;1.54228682;2.62775058;20.7308719;16.2431624;6.08903387;6.61971723;2.51165012e-16;1.36609023
69;101.654004;1.23233851e-06;75.1674489;101825661.99302433;428516327.66339904;2.1600000000000003e+31;2.1600000000000003e+31;115599234.13152589;599671027.1375238;2121.27273;504.064807;0.0;0.0;1868.52449;360.197492;12.3194391;0.0;11.869655;0.0;0.0;112.220492;101976817.0;7454442.16;117435814.0;1545381040.0;10567687.4;9828345.64;inf;6.56435073e+26;1.4978018;2.6961266;23.0957028;18.7298071;6.5931699;6.98592614;3.10472275e-16;1.7687401
70;101.601218;2.16322483e-07;75.1085714;101825458.46429475;428515469.8925269;2.1600000000000003e+31;2.1600000000000003e+31;115536155.98895866;599343808.431339;2121.27697;504.065816;0.0;0.0;1869.54463;360.394146;12.0104372;0.0;11.610648;0.0;0.0;110.911029;94857906.8;7605241.98;121730058.0;1619404950.0;10982147.5;10212984.8;inf;6.73239287e+26;1.54270355;2.69312255;23.1584723;18.7936362;6.60951819;6.99633344;3.08084467e-16;1.7790228
71;101.547537;1.20849196e-08;75.0490781;101825944.24647705;428517514.43629384;2.1600000000000003e+31;2.1600000000000003e+31;115473725.07652006;599019950.1153934;2121.26685;504.063411;0.0;0.0;1870.5554;360.588992;11.7059696;0.0;11.3550252;0.0;0.0;109.611066;73918270.9;7870316.06;126256378.0;1698405210.0;11418927.4;10618160.1;inf;6.85610893e+26;1.67588323;2.67804271;23.2221456;18.8583859;6.6261136;7.00693527;3.05696659e-16;1.78947476
72;101.493757;1.15692465e-06;74.9895608;101825001.48765856;428513547.78414184;2.1600000000000003e+31;2.1600000000000003e+31;115409995.1029295;598689347.6171705;2121.28649;504.068077;0.0;0.0;1871.58833;360.788113;11.4060141;0.0;11.1027712;0.0;0.0;108.320574;56314765.7;8114254.0;131026703.0;1782723220.0;11879252.9;11044943.2;inf;6.97803313e+26;1.83845267;2.66636553;23.2868426;18.9241248;6.64301277;7.01779636;3.03308851e-16;1.80009961
73;101.438746;4.89556552e-07;74.9291699;101825607.75061831;428516098.1307182;2.1600000000000003e+31;2.1600000000000003e+31;115347725.06250271;598366325.2995092;2121.27386;504.065077;0.0;0.0;1872.5987;360.982881;11.1105485;0.0;10.8538704;0.0;0.0;107.039523;41780633.5;8297667.98;136063876.0;1872923560.0;12365178.2;11495259.4;inf;7.09557997e+26;2.04062154;2.66197263;23.3524364;18.9907988;6.66015066;7.02883772;3.00921043e-16;1.81090114
74;101.383362;4.03976082e-07;74.868565;101825476.70504393;428515547.25328726;2.1600000000000003e+31;2.1600000000000003e+31;115284746.27812804;598039621.1382452;2121.27659;504.065725;0.0;0.0;1873.62168;361.180083;10.8195505;0.0;10.6083073;0.0;0.0;105.767882;46350267.1;8388784.11;141381957.0;1969422730.0;12878157.7;11970402.3;inf;7.33167356e+26;1.98885369;2.66773094;23.4190594;19.0584831;6.67758728;7.0401243;2.98533235e-16;1.82188311
75;101.327339;4.7491474e-07;74.8075257;101825288.05761155;428514754.94440407;2.1600000000000003e+31;2.1600000000000003e+31;115221762.47197963;597712893.1223073;2121.28052;504.066657;0.0;0.0;1874.64586;361.377515;10.5329975;0.0;10.3660664;0.0;0.0;104.505622;64095463.6;8385928.06;147002598.0;2072803810.0;13420205.7;12472208.4;inf;7.64413364e+26;1.81077073;2.68344325;23.4866936;19.1271782;6.69531372;7.05164378;2.96145427e-16;1.83304957
76;101.270617;2.24230384e-08;74.7460222;101825190.1340291;428514342.6389019;2.1600000000000003e+31;2.1600000000000003e+31;115158856.04391262;597386566.5240277;2121.28256;504.067142;0.0;0.0;1875.6699;361.57492;10.2508671;0.0;10.127132;0.0;0.0;103.252713;86591071.9;8325978.77;152947923.0;2183683870.0;13993427.8;13002570.5;inf;7.96350586e+26;1.66914144;2.70518228;23.5553541;19.1969013;6.71333308;7.06340097;2.93757619e-16;1.84440475
77;101.213208;9.85559237e-07;74.6840732;101825127.25182791;428514077.4036167;2.1600000000000003e+31;2.1600000000000003e+31;115095950.19180126;597060241.2222885;2121.28387;504.067454;0.0;0.0;1876.69505;361.77254;9.97313686;0.0;9.89148856;0.0;0.0;102.009125;114699701.0;8241652.52;159241592.0;2302737670.0;14600079.0;13563532.4;inf;8.28929589e+26;1.55472902;2.72958214;23.6941463;19.336756;6.73165342;7.07540228;2.91369812e-16;1.85595287
78;101.154931;1.28387404e-06;74.6215171;101825563.58870207;428515912.8045108;2.1600000000000003e+31;2.1600000000000003e+31;115033557.179227;596736578.6021519;2121.27478;504.065295;0.0;0.0;1877.71295;361.968761;9.69978403;0.0;9.65912021;0.0;0.0;100.774828;111260574.0;8387875.65;165910952.0;2430745420.0;15242698.5;14157399.4;inf;8.53474322e+26;1.58250055;2.73050267;23.8631542;19.5068397;6.75027233;7.08764193;2.88982004e-16;1.8676984
79;100.490161;3.57941584e-08;75.9890742;101824990.9273226;428513503.5784022;2.1600000000000003e+31;2.1600000000000003e+31;120502584.81670666;625107158.1263775;2121.28671;504.068129;0.0;0.0;1792.49267;345.540756;5.73291176;0.0;6.22336659;0.0;0.0;81.3594109;64310843.7;6507074.48;67877049.7;796652595.0;6318433.17;5886391.36;inf;4.42233874e+26;1.53925089;2.62439208;20.6044887;16.1633643;6.06636945;6.59478771;2.48777204e-16;1.34627134
80;101.096277;3.18134502e-07;74.5587274;101825178.13360302;428514291.63209075;2.1600000000000003e+31;2.1600000000000003e+31;114970438.6783848;596409151.3782265;2121.28281;504.067202;0.0;0.0;1878.74381;362.167481;9.43078597;0.0;9.43001125;0.0;0.0;99.549793;86655303.2;8695498.52;172980934.0;2568471840.0;15923727.7;14786332.8;inf;8.70753677e+26;1.71460063;2.71596435;24.035511;19.6802529;6.76922687;7.10016233;2.86594196e-16;1.8796458
